informant;sp_name;AH;AA;Med;Vet;Qui;Com;Fib;UC;Cons;Amb
JAUM;Clusia alata;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia alata;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia alata;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia alata;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia cuneifolia;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia cuneifolia;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia cuneifolia;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia cuneifolia;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia decussata;0;1;0;0;0;0;0;0;0;0
JAUM;Clusia decussata;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia discolor;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia discolor;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia dixonii;0;0;0;0;0;1;0;0;0;0
JAUM;Clusia ducu;0;1;0;0;0;0;0;0;0;1
HUA;Clusia ducu;0;1;0;0;0;0;0;0;0;1
JAUM;Clusia ducuoides ;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia ducuoides ;0;1;0;0;0;0;0;0;0;1
HUA;Clusia ducuoides ;0;1;0;0;0;0;0;0;0;1
HUA;Clusia ducuoides ;0;0;0;0;0;0;0;0;0;1
JAUM;Clusia elliptica;0;1;0;0;0;0;0;0;0;1
HUA;Clusia elliptica;0;1;0;0;0;0;0;0;0;1
JAUM;Clusia longistyla;0;0;1;0;0;0;0;0;0;0
JAUM;Clusia mamillata;0;0;1;0;0;0;0;0;0;1
HUA;Clusia minor;0;0;0;0;0;0;0;1;0;0
COL;Clusia brachycarpa;0;0;0;0;0;1;0;0;1;0
COL;Clusia brachycarpa;0;0;0;0;0;1;0;0;1;0
JAUM;Clusia trochiformis;0;1;0;0;0;0;0;0;0;1
HUA;Clusia trochiformis;0;1;0;0;0;0;0;0;0;1
HUA;Clusia veneralensis;0;0;0;0;0;0;0;1;0;0
HUA;Clusia orthoneura;0;0;0;0;0;0;0;1;0;0
HUA;Clusia orthoneura;0;0;0;0;0;0;0;1;0;0
HUA;Clusia polyandra;0;1;0;0;0;0;0;0;0;1
HUA;Clusia polyandra;0;0;0;0;0;0;0;0;0;1
HUA;Clusia ducu;0;0;0;0;0;0;0;0;0;1
HUA;Clusia uvitana;0;0;0;0;0;0;0;1;0;0
HUA;Clusia sp2;0;1;0;0;0;0;0;0;0;1
HUA;Clusia sp2;0;1;0;0;0;0;0;0;0;1
HUA;Clusia sp3;0;1;0;0;0;0;0;0;0;1
HUA;Clusia sp4;0;1;0;0;0;0;0;0;0;1
HUA;Clusia sp4;0;0;0;0;0;0;0;0;0;1
HUA;Clusia sp5;0;0;1;0;0;0;0;0;0;0
HUA;Clusia sp1 aff. veneralensis;0;0;1;0;0;0;0;0;0;0
HUA;Clusia sp1 aff. veneralensis;0;0;0;0;0;0;0;0;1;0
HUA;Clusia sp1 aff. veneralensis;0;0;0;0;0;0;0;0;1;0
HUA;Clusia brachycarpa;0;0;0;0;0;0;1;1;0;0
HUA;Clusia brachycarpa;1;0;1;0;0;0;1;1;1;0
HUA;Clusia brachycarpa;0;0;0;0;0;0;1;0;0;0
HUA;Clusia brachycarpa;0;0;1;0;0;0;0;0;0;0
HUA;Clusia brachycarpa;0;0;0;0;0;0;1;0;0;0
COL;Clusia brachycarpa;0;0;0;0;0;1;0;1;1;0
HUA;Clusia cf. caicedoi;0;1;0;0;0;0;0;0;0;1
HUA;Clusia cf. stenophylla;0;0;0;0;0;0;0;0;0;1
HUA;Clusia cf. stenophylla;0;0;1;0;0;0;0;0;0;0
HUA;Clusia elliptica;0;1;0;0;0;0;0;0;0;1
HUA;Clusia elliptica;0;1;0;0;0;0;0;0;0;1
HUA;Clusia cf. cuneifolia;0;0;0;0;0;0;0;0;0;1
MEDEL;Clusia aff. penduliflora;0;0;0;0;0;1;1;0;0;0
MEDEL;Clusia palmicida;0;0;0;0;0;0;0;0;1;0
MEDEL;Clusia ducu;0;0;0;1;0;1;0;0;1;0
MEDEL;Clusia brachycarpa;0;0;0;0;0;0;0;0;1;0
MEDEL;Clusia brachycarpa;0;0;0;0;0;1;0;0;1;0
