TRAT,HSUELO
M,0.2056
M,0.2052
M,0.2038
M,0.2043
M,0.2056
M,0.2061
M,0.2061
M,0.2078
M,0.2083
M,0.21
M,0.2134
M,0.2143
M,0.2083
M,0.2087
M,0.2095
M,0.2104
M,0.2104
M,0.2095
M,0.2073
M,0.2017
M,0.199
M,0.1985
M,0.1963
M,0.1954
M,0.1926
M,0.1913
M,0.1895
M,0.1866
M,0.1872
M,0.1859
M,0.184
M,0.1843
M,0.1853
M,0.1853
M,0.1849
M,0.1853
M,0.1853
M,0.1843
M,0.1849
M,0.1849
M,0.1843
M,0.1849
M,0.1853
M,0.1853
M,0.184
M,0.184
M,0.1836
M,0.183
M,0.1813
M,0.1813
M,0.1803
M,0.1803
M,0.1797
M,0.1813
M,0.182
M,0.1816
M,0.1816
M,0.182
M,0.182
M,0.182
M,0.182
M,0.182
M,0.1816
M,0.1813
M,0.18
M,0.18
M,0.18
M,0.18
M,0.1895
M,0.1881
M,0.2035
M,0.2026
M,0.2029
MF,0.2763
MF,0.2763
MF,0.2763
MF,0.2766
MF,0.2766
MF,0.2766
MF,0.2763
MF,0.2759
MF,0.2759
MF,0.2763
MF,0.2763
MF,0.2756
MF,0.2759
MF,0.2759
MF,0.2756
MF,0.2756
MF,0.2756
MF,0.2756
MF,0.2749
MF,0.2753
MF,0.2753
MF,0.2739
MF,0.2736
MF,0.2726
MF,0.2719
MF,0.2708
MF,0.2705
MF,0.2698
MF,0.2691
MF,0.2691
MF,0.2684
MF,0.2684
MF,0.268
MF,0.2677
MF,0.2673
MF,0.2673
MF,0.267
MF,0.267
MF,0.2666
MF,0.2664
MF,0.2666
MF,0.2664
MF,0.266
MF,0.266
MF,0.266
MF,0.2657
MF,0.2657
MF,0.265
MF,0.2653
MF,0.265
MF,0.265
MF,0.265
MF,0.265
MF,0.2646
MF,0.265
MF,0.265
MF,0.2657
MF,0.2657
MF,0.2657
MF,0.2653
MF,0.2664
MF,0.2666
MF,0.267
MF,0.2666
MF,0.2677
MF,0.2701
MF,0.27
MF,0.27
MF,0.27
MF,0.2796
MF,0.2796
MF,0.2776
MF,0.2776
MFC,0.33095
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.33095
MFC,0.3312
MFC,0.33135
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.3312
MFC,0.33095
MFC,0.33135
MFC,0.33135
MFC,0.3314
MFC,0.33135
MFC,0.33135
MFC,0.33135
MFC,0.3311
MFC,0.33135
MFC,0.3312
MFC,0.3312
MFC,0.33095
MFC,0.33135
MFC,0.33135
MFC,0.3314
MFC,0.33155
MFC,0.3314
MFC,0.3312
MFC,0.33155
MFC,0.33155
MFC,0.33185
MFC,0.3319
MFC,0.3319
MFC,0.3319
MFC,0.3319
MFC,0.33215
MFC,0.3324
MFC,0.3324
MFC,0.33215
MFC,0.33215
MFC,0.33215
MFC,0.33215
MFC,0.33195
MFC,0.33195
MFC,0.33195
MFC,0.3318
MFC,0.3318
MFC,0.3318
MFC,0.33155
MFC,0.3313
MFC,0.3318
MFC,0.33155
MFC,0.33155
MFC,0.33135
MFC,0.3316
MFC,0.33135
MFC,0.3312
MFC,0.33095
MFC,0.33095
MFC,0.3
MFC,0.3
MFC,0.3
MFC,0.33165
MFC,0.33085
MFC,0.3304
MFC,0.33025
MFC,0.33
